Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Shermer High School,10:00am-11:00am,09/19/2024,Major Violation,,Continued Misconduct,Classroom,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,1Q,4
Shermer High School,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,2Q,1
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,4,P,A14794331BZD,2024-2025,1Q,1
Bayside,After School,10/01/2024,Major Violation,,Continued Misconduct,Bus,15,W,W,F,4,F,A14794331BZD,2024-2025,1Q,1
Bayside,8:00am - 9:00am,01/29/2025,Minor Violation (5 times in the same quarter),Preparedness,,Classroom,15,W,W,F,4,P,A14794331BZD,2024-2025,3Q,1
Rydell High School,8:00am - 9:00am,08/23/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,W,M,0,P,A16132079BZD,2024-2025,1Q,1
Rydell High School,11:00am - 12:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,0,P,A16132079BZD,2024-2025,1Q,2
Rydell High School,11:00am - 12:00pm,08/29/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,0,P,A16132079BZD,2024-2025,1Q,3
Rydell High School,12:00pm - 1:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,M,0,P,A16132079BZD,2024-2025,2Q,1
Rydell High School,12:00pm - 1:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,W,M,0,P,A16132079BZD,2024-2025,2Q,2
Rydell High School,11:00am - 12:00pm,11/08/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,W,W,M,0,P,A16132079BZD,2024-2025,2Q,3
Rydell High School,11:00am - 12:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,0,P,A16132079BZD,2024-2025,2Q,4
Rydell High School,10:00am-11:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Bathroom,35,W,W,M,0,P,A16132079BZD,2024-2025,3Q,1
Springfield Elementary,12:00pm - 1:00pm,04/11/2024,Major Violation,,Continued Misconduct,Classroom,17,W,W,M,0,F,A16125584BZD,2023-2024,4Q,0
Springfield Elementary,8:00am - 9:00am,04/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,17,W,W,M,0,F,A16125584BZD,2023-2024,4Q,1
Springfield Elementary,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Other,,Playground,17,W,W,F,-1,F,A16823915BZD,2024-2025,2Q,1
Bayside,9:00am - 10:00am,08/23/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,P,A14638415BZD,2024-2025,1Q,1
