Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Hill Valley High School,10:00am-11:00am,10/31/2024,Major Violation,,Leaving class/school without permission,W,M,0,F,A16524680BZD
Bayside,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,P,A15319214BZD
Bayside,9:00am - 10:00am,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,2,F,A15470480BZD
Bayside,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142052BZD
Rydell High School,11:00am - 12:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16437953BZD
Bayside,1:00pm - 2:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15144467BZD
Shermer High School,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A13746125BZD
Shermer High School,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A14064896BZD
Shermer High School,After School,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,9,F,A12943094BZD
Bayside,9:00am - 10:00am,11/13/2024,Major Violation,,"Harassment,Bullying",W,F,4,P,A15142526BZD
Bayside,12:00pm - 1:00pm,11/13/2024,Major Violation,,Continued Misconduct,W,F,2,F,A15470480BZD
Shermer High School,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A14064896BZD
Shermer High School,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A13746125BZD
Bayside,Before School,11/12/2024,Major Violation,,Continued Misconduct,W,F,4,P,A15142526BZD
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142052BZD
Bayside,9:00am - 10:00am,11/13/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15130133BZD
Springfield Elementary,1:00pm - 2:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15850136BZD
Shermer High School,2:00pm -3:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,7,F,A14064242BZD
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144467BZD
Hill Valley High School,10:00am-11:00am,11/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14785055BZD
Shermer High School,1:00pm - 2:00pm,11/11/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,F,7,F,A14064242BZD
Shermer High School,2:00pm -3:00pm,11/13/2024,Major Violation,,Continued Misconduct,W,F,7,F,A14064242BZD
Bayside,10:00am-11:00am,11/14/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15303116BZD
Shermer High School,2:00pm -3:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,F,7,F,A14064242BZD
Bayside,After School,11/12/2024,Major Violation,,Continued Misconduct,W,F,4,F,A15244859BZD
Hill Valley High School,12:00pm - 1:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,0,P,A16132085BZD
Hill Valley High School,10:00am-11:00am,11/08/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Rydell High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15144209BZD
Bayside,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15717014BZD
Hill Valley High School,2:00pm -3:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15553781BZD
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15616889BZD
Springfield Elementary,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Other,,W,F,-1,F,A16823915BZD
Rydell High School,8:00am - 9:00am,11/14/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,P,A16367735BZD
Rydell High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,F,A16001546BZD
Bayside,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470480BZD
Bayside,11:00am - 12:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A15553787BZD
Springfield Elementary,10:00am-11:00am,11/14/2024,Major Violation,,"Assault,Continued Misconduct",W,M,1,P,A16030871BZD
Bayside,12:00pm - 1:00pm,11/13/2024,Major Violation,,Continued Misconduct,W,M,2,P,A14377289BZD
Rydell High School,8:00am - 9:00am,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,F,A15932738BZD
Hill Valley High School,11:00am - 12:00pm,11/12/2024,Major Violation,,Bullying,W,M,3,F,A14523605BZD
Hill Valley High School,9:00am - 10:00am,11/12/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15090431BZD
Hill Valley High School,8:00am - 9:00am,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16327700BZD
Bayside,10:00am-11:00am,11/15/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,4,F,A14854088BZD
Hill Valley High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,W,F,3,P,A15328922BZD
Bayside,12:00pm - 1:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A14011100BZD
Hill Valley High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A14943278BZD
Bayside,12:00pm - 1:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15597938BZD
Bayside,1:00pm - 2:00pm,11/15/2024,Major Violation,,Continued Misconduct,W,M,4,F,A14854088BZD
Bayside,11:00am - 12:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15277364BZD
Bayside,12:00pm - 1:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A15277364BZD
Bayside,2:00pm -3:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142472BZD
Hill Valley High School,2:00pm -3:00pm,11/13/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A14434376BZD
Rydell High School,Unknown,11/15/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15144356BZD
Shermer High School,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,5,F,A16747604BZD
Shermer High School,10:00am-11:00am,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,10,P,A13086344BZD
Shermer High School,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,8,F,A13607390BZD
Shermer High School,1:00pm - 2:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,8,F,A13813142BZD
Shermer High School,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,9,F,A13368554BZD
Bayside,1:00pm - 2:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,P,A15616853BZD
Bayside,1:00pm - 2:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,P,A15849857BZD
Bayside,10:00am-11:00am,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,F,3,P,A15598052BZD
Bayside,8:00am - 9:00am,11/19/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A14879249BZD
Rydell High School,8:00am - 9:00am,11/18/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,1,F,A15932738BZD
Springfield Elementary,1:00pm - 2:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,0,F,A16574678BZD
Shermer High School,11:00am - 12:00pm,11/18/2024,Major Violation,,Assault,W,M,6,F,A14566694BZD
Springfield Elementary,1:00pm - 2:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,R,A16334411BZD
Springfield Elementary,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,P,A15857000BZD
Bayside,2:00pm -3:00pm,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A15142049BZD
Bayside,10:00am-11:00am,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14991482BZD
Bayside,9:00am - 10:00am,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14911667BZD
Shermer High School,1:00pm - 2:00pm,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,9,F,A13065230BZD
Bayside,2:00pm -3:00pm,11/19/2024,Major Violation,,Continued Misconduct,W,M,4,P,A15142049BZD
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16327700BZD
Bayside,12:00pm - 1:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15470480BZD
Bayside,12:00pm - 1:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15849581BZD
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16732493BZD
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,0,P,A16817795BZD
Hill Valley High School,12:00pm - 1:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16817795BZD
Bayside,11:00am - 12:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15617582BZD
Shermer High School,12:00pm - 1:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,6,F,A14566694BZD
Bayside,12:00pm - 1:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14850719BZD
Hill Valley High School,Before School,11/19/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,P,A15771266BZD
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144443BZD
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15089432BZD
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15597938BZD
Bayside,9:00am - 10:00am,11/20/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15089432BZD
Bayside,1:00pm - 2:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,4,F,A15597938BZD
Hill Valley High School,12:00pm - 1:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15771266BZD
Hill Valley High School,1:00pm - 2:00pm,11/19/2024,Major Violation,,Continued Misconduct,W,M,2,P,A15850778BZD
Shermer High School,9:00am - 10:00am,11/21/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,B,M,7,F,A14064896BZD
Shermer High School,1:00pm - 2:00pm,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,11,P,A12692066BZD
Shermer High School,11:00am - 12:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,11,P,A12692066BZD
Shermer High School,11:00am - 12:00pm,11/18/2024,Major Violation,,Assault,W,M,6,F,A14566694BZD
Shermer High School,12:00pm - 1:00pm,11/18/2024,Major Violation,,Assault,W,M,6,F,A14566694BZD
Springfield Elementary,10:00am-11:00am,11/21/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,P,A15903068BZD
Springfield Elementary,12:00pm - 1:00pm,11/21/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,P,A15903068BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144443BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15089432BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A16327751BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A13728677BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,B,F,4,F,A14517131BZD
Bayside,1:00pm - 2:00pm,11/22/2024,Major Violation,,Continued Misconduct,W,M,4,F,A15089432BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Major Violation,,Continued Misconduct,W,M,4,F,A13728677BZD
Bayside,8:00am - 9:00am,11/22/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15437579BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Major Violation,,Continued Misconduct,W,M,3,F,A15144443BZD
Shermer High School,1:00pm - 2:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,9,F,A13368554BZD
Springfield Elementary,After School,11/21/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16214498BZD
Bayside,12:00pm - 1:00pm,11/25/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,P,A15144410BZD
Bayside,10:00am-11:00am,11/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142526BZD
Bayside,1:00pm - 2:00pm,11/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,10:00am-11:00am,11/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A16327751BZD
Hill Valley High School,12:00pm - 1:00pm,11/20/2024,Major Violation,,Fighting,W,M,0,P,A16132085BZD
Bayside,12:00pm - 1:00pm,11/26/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,F,A14843582BZD
Bayside,12:00pm - 1:00pm,11/26/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,F,A15142472BZD
Shermer High School,10:00am-11:00am,12/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,11,P,A12419144BZD
Shermer High School,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,6,F,A14566694BZD
Bayside,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A15364652BZD
Bayside,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15617582BZD
Rydell High School,12:00pm - 1:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,P,A15110879BZD
Springfield Elementary,10:00am-11:00am,12/19/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,F,A16298258BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16417805BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15470441BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15023840BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16713839BZD
Shermer High School,11:00am - 12:00pm,12/04/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,10,F,A14899361BZD
Shermer High School,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Disruption,,H,M,11,F,A12685229BZD
Shermer High School,11:00am - 12:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,11,P,A12692066BZD
Rydell High School,12:00pm - 1:00pm,12/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A16689959BZD
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,P,A14011100BZD
Bayside,2:00pm -3:00pm,12/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A14011100BZD
Hill Valley High School,10:00am-11:00am,12/18/2024,Minor Violation (5 times in the same quarter),Other,,H,M,0,F,A16823768BZD
Hill Valley High School,12:00pm - 1:00pm,11/22/2024,Major Violation,,Assault,W,M,3,F,A14434376BZD
Hill Valley High School,8:00am - 9:00am,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15553781BZD
Springfield Elementary,2:00pm -3:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,B,F,1,F,A14889647BZD
Hill Valley High School,11:00am - 12:00pm,11/22/2024,Major Violation,,Fighting,W,M,0,P,A16132085BZD
Shermer High School,9:00am - 10:00am,12/05/2024,Major Violation,,Criminal use or modification of technology,W,M,8,F,A13607390BZD
Bayside,12:00pm - 1:00pm,11/19/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15617582BZD
Bayside,9:00am - 10:00am,12/06/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,P,A15769634BZD
Bayside,2:00pm -3:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A15236678BZD
Bayside,11:00am - 12:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,P,A15142475BZD
Bayside,2:00pm -3:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A15553787BZD
Bayside,2:00pm -3:00pm,12/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14843582BZD
Shermer High School,10:00am-11:00am,12/09/2024,Major Violation,,"Continued Misconduct,Threats,Exceeded minor maximum count",W,M,11,P,A12692066BZD
Shermer High School,10:00am-11:00am,12/09/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,11,P,A12692066BZD
Bayside,2:00pm -3:00pm,12/04/2024,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,F,2,F,A16417805BZD
Bayside,10:00am-11:00am,12/09/2024,Major Violation,,Exceeded minor maximum count,W,M,4,P,A15553787BZD
Bayside,10:00am-11:00am,12/05/2024,Major Violation,,Exceeded minor maximum count,W,M,4,P,A14011100BZD
Bayside,11:00am - 12:00pm,12/02/2024,Major Violation,,Exceeded minor maximum count,W,M,2,F,A15617582BZD
Bayside,Before School,12/09/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,2,F,A15617582BZD
Bayside,1:00pm - 2:00pm,12/09/2024,Major Violation,,Continued Misconduct,W,F,2,F,A15470480BZD
Shermer High School,9:00am - 10:00am,12/10/2024,Minor Violation (5 times in the same quarter),Insubordination,,H,M,10,F,A14884361BZD
Bayside,8:00am - 9:00am,12/10/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15244859BZD
Bayside,11:00am - 12:00pm,12/09/2024,Major Violation,,Assault,W,M,3,P,A15324968BZD
Shermer High School,12:00pm - 1:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A14064896BZD
Shermer High School,12:00pm - 1:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,7,F,A13746125BZD
Rydell High School,11:00am - 12:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16132079BZD
Rydell High School,11:00am - 12:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,R,A16360118BZD
Bayside,11:00am - 12:00pm,12/10/2024,Major Violation,,Exceeded minor maximum count,W,F,4,F,A15244859BZD
Hill Valley High School,2:00pm -3:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A15185672BZD
Rydell High School,10:00am-11:00am,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,0,F,A16157912BZD
Bayside,1:00pm - 2:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,R,A15061304BZD
Bayside,10:00am-11:00am,12/10/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142526BZD
Bayside,10:00am-11:00am,12/10/2024,Major Violation,,Continued Misconduct,B,M,4,F,A14794355BZD
Bayside,8:00am - 9:00am,12/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15089432BZD
Bayside,Before School,12/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142076BZD
Rydell High School,12:00pm - 1:00pm,12/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,1,P,A15995096BZD
Bayside,11:00am - 12:00pm,12/11/2024,Major Violation,,Continued Misconduct,W,M,2,F,A15617582BZD
Bayside,2:00pm -3:00pm,12/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A14873558BZD
Bayside,1:00pm - 2:00pm,12/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15849578BZD
Bayside,11:00am - 12:00pm,12/11/2024,Major Violation,,Exceeded minor maximum count,W,M,2,P,A15849578BZD
Bayside,8:00am - 9:00am,12/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14911667BZD
Shermer High School,After School,12/10/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,5,F,A16747604BZD
Shermer High School,11:00am - 12:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,5,F,A16747604BZD
Bayside,10:00am-11:00am,12/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15659372BZD
Bayside,2:00pm -3:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Bayside,1:00pm - 2:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A14377289BZD
Springfield Elementary,2:00pm -3:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A16298504BZD
Springfield Elementary,1:00pm - 2:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16709366BZD
Springfield Elementary,1:00pm - 2:00pm,12/09/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,0,F,A16709366BZD
Springfield Elementary,1:00pm - 2:00pm,12/09/2024,Major Violation,,Threats,W,M,0,F,A16298552BZD
Springfield Elementary,1:00pm - 2:00pm,12/05/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15850136BZD
Rydell High School,2:00pm -3:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,2,F,A15442787BZD
Bayside,10:00am-11:00am,12/12/2024,Major Violation,,Exceeded minor maximum count,W,M,2,F,A15659372BZD
Bayside,12:00pm - 1:00pm,12/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,11:00am - 12:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A14933648BZD
Bayside,10:00am-11:00am,12/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15849683BZD
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15856496BZD
Bayside,12:00pm - 1:00pm,12/16/2024,Major Violation,,Exceeded minor maximum count,W,M,4,F,A14850692BZD
Bayside,1:00pm - 2:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15617582BZD
Bayside,8:00am - 9:00am,12/17/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,4,F,A14365835BZD
Bayside,1:00pm - 2:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,P,A13383923BZD
Bayside,11:00am - 12:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,R,A15061304BZD
Bayside,2:00pm -3:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15717014BZD
Rydell High School,11:00am - 12:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15470015BZD
Bayside,11:00am - 12:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15089432BZD
Bayside,9:00am - 10:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A14933648BZD
Bayside,8:00am - 9:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15465956BZD
Bayside,8:00am - 9:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15973106BZD
Bayside,9:00am - 10:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142052BZD
Bayside,1:00pm - 2:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15470498BZD
Bayside,11:00am - 12:00pm,12/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A16417805BZD
Bayside,9:00am - 10:00am,12/19/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,F,4,P,A15142052BZD
Bayside,2:00pm -3:00pm,01/08/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,3,F,A15737516BZD
Bayside,2:00pm -3:00pm,01/08/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15973106BZD
Springfield Elementary,2:00pm -3:00pm,01/16/2025,Major Violation,,Threats,W,M,1,F,A15850136BZD
Springfield Elementary,9:00am - 10:00am,01/13/2025,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16060565BZD
Springfield Elementary,12:00pm - 1:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16709360BZD
