Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A16568006BZD
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15089432BZD
Shermer High School,10:00am-11:00am,09/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A13368554BZD
Bayside,9:00am - 10:00am,09/12/2024,Major Violation,,"Continued Misconduct,Leaving class/school without permission",W,M,2,F,A15130133BZD
Bayside,11:00am - 12:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15849578BZD
Bayside,12:00pm - 1:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,B,F,4,F,A14517131BZD
Bayside,11:00am - 12:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,R,A14850713BZD
Bayside,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15470480BZD
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Preparedness,,W,F,3,F,A15283073BZD
Bayside,11:00am - 12:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15223601BZD
Bayside,11:00am - 12:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15849581BZD
Bayside,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15089432BZD
Bayside,After School,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15089432BZD
Bayside,12:00pm - 1:00pm,09/12/2024,Major Violation,,Assault,W,M,4,F,A15597938BZD
Bayside,10:00am-11:00am,09/12/2024,Minor Violation (5 times in the same quarter),Disruption,,B,F,2,F,A15207464BZD
